symbol,security_id,exchange
BANKNIFTY-Sep2025-FUT,52995,NSE
FINNIFTY-Sep2025-FUT,52997,NSE
MIDCPNIFTY-Sep2025-FUT,52998,NSE
NIFTY-Sep2025-FUT,53001,NSE
NIFTYNXT50-Sep2025-FUT,53002,NSE
360ONE-Jul2025-FUT,53003,NSE
360ONE-Aug2025-FUT,53004,NSE
360ONE-Sep2025-FUT,53011,NSE
ABB-Sep2025-FUT,53012,NSE
ABCAPITAL-Sep2025-FUT,53013,NSE
ADANIENSOL-Sep2025-FUT,53014,NSE
ADANIENT-Sep2025-FUT,53015,NSE
ADANIGREEN-Sep2025-FUT,53016,NSE
ADANIPORTS-Sep2025-FUT,53020,NSE
ALKEM-Sep2025-FUT,53021,NSE
AMBER-Jul2025-FUT,53027,NSE
AMBER-Aug2025-FUT,53028,NSE
AMBER-Sep2025-FUT,53031,NSE
AMBUJACEM-Sep2025-FUT,53032,NSE
ANGELONE-Sep2025-FUT,53033,NSE
APLAPOLLO-Sep2025-FUT,53034,NSE
APOLLOHOSP-Sep2025-FUT,53036,NSE
ASHOKLEY-Sep2025-FUT,53037,NSE
ASIANPAINT-Sep2025-FUT,53039,NSE
ASTRAL-Sep2025-FUT,53040,NSE
AUBANK-Sep2025-FUT,53041,NSE
AUROPHARMA-Sep2025-FUT,53042,NSE
AXISBANK-Sep2025-FUT,53043,NSE
BAJAJ-AUTO-Sep2025-FUT,53044,NSE
BAJAJFINSV-Sep2025-FUT,53045,NSE
BAJFINANCE-Sep2025-FUT,53046,NSE
BANDHANBNK-Sep2025-FUT,53047,NSE
BANKBARODA-Sep2025-FUT,53048,NSE
BANKINDIA-Sep2025-FUT,53049,NSE
BDL-Sep2025-FUT,53050,NSE
BEL-Sep2025-FUT,53051,NSE
BHARATFORG-Sep2025-FUT,53052,NSE
BHARTIARTL-Sep2025-FUT,53055,NSE
BHEL-Sep2025-FUT,53056,NSE
BIOCON-Sep2025-FUT,53057,NSE
BLUESTARCO-Sep2025-FUT,53058,NSE
BOSCHLTD-Sep2025-FUT,53059,NSE
BPCL-Sep2025-FUT,53060,NSE
BRITANNIA-Sep2025-FUT,53061,NSE
BSE-Sep2025-FUT,53062,NSE
CAMS-Sep2025-FUT,53063,NSE
CANBK-Sep2025-FUT,53064,NSE
CDSL-Sep2025-FUT,53065,NSE
CGPOWER-Sep2025-FUT,53066,NSE
CHOLAFIN-Sep2025-FUT,53068,NSE
CIPLA-Sep2025-FUT,53069,NSE
COALINDIA-Sep2025-FUT,53071,NSE
COFORGE-Sep2025-FUT,53086,NSE
COLPAL-Sep2025-FUT,53087,NSE
CONCOR-Sep2025-FUT,53104,NSE
CROMPTON-Sep2025-FUT,53105,NSE
CUMMINSIND-Sep2025-FUT,53121,NSE
CYIENT-Sep2025-FUT,53122,NSE
DABUR-Sep2025-FUT,53131,NSE
DALBHARAT-Sep2025-FUT,53132,NSE
DELHIVERY-Sep2025-FUT,53133,NSE
DIVISLAB-Sep2025-FUT,53134,NSE
DIXON-Sep2025-FUT,53135,NSE
DLF-Sep2025-FUT,53136,NSE
DMART-Sep2025-FUT,53138,NSE
DRREDDY-Sep2025-FUT,53139,NSE
EICHERMOT-Sep2025-FUT,53149,NSE
ETERNAL-Sep2025-FUT,53150,NSE
EXIDEIND-Sep2025-FUT,53151,NSE
FEDERALBNK-Sep2025-FUT,53152,NSE
FORTIS-Sep2025-FUT,53154,NSE
GAIL-Sep2025-FUT,53159,NSE
